"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","Selling Agent ID","LSC List Side","List Office Primary Board ID"
"1","O5995665","SLD","466 E SWANSON ST","GROVELAND","34736","HIGHLAND VIEW","1,146","$299,000","3","2","0","1956","None","Single Family Residence","$1,780.56","4","4","35","Conventional","04/08/2022","$248.69","$260.91","1.05","KELLER WILLIAMS ADVANTAGE REALTY","Sabina Dzin","261222428","260505076","641501618","Orlando Regional","Orlando Regional"
"1","G5048448","SLD","1180 SINGLETON CIR","GROVELAND","34736","GREEN VALLEY WEST","1,822","$300,000","3","2","0","2000","None","Single Family Residence","$2,289.82","38","38","90","Conventional","02/24/2022","$167.40","$164.65","0.98","KELLER WILLIAMS ELITE PARTNERS III REALTY","Dana Broadway","260505164","261010674","272507815","Lake and Sumter","Lake and Sumter"
"1","O5997484","SLD","165 QUAIL OAKS CIR","GROVELAND","34736","GROVELAND QUAIL OAKS LT 01 ORB 2237 PG 141","1,410","$301,000","3","2","0","2004","None","Single Family Residence","$747.00","4","4","4","Conventional","02/25/2022","$201.77","$213.48","1.06","COLDWELL BANKER REALTY","Robert Christiano","261092935","261012255","261215298","Orlando Regional","Orlando Regional"
"1","G5051473","SLD","438 TIMBER VILLAGE RD","GROVELAND","34736","GROVELAND VILLAGE ESTATES LT 01 ORB 2125 P","1,772","$301,500","3","2","0","2003","None","Single Family Residence","$2,496.00","6","6","17","Conventional","03/17/2022","$183.41","$170.15","0.93","WHEATLEY REALTY GROUP","Alison Wheatley","734272500","52365","260049185","Lake and Sumter","Lake and Sumter"
"1","O5993866","SLD","279 CURTIS AVE","GROVELAND","34736","GROVELAND LAKE DOT LANDING LT 01 ORB 2176","1,264","$302,000","3","2","0","2003","None","Single Family Residence","$3,023.95","2","2","2","Cash","01/28/2022","$227.06","$238.92","1.05","FLORIDA REALTY INVESTMENTS","Danny Nguyen","261084102","56037","261067918","Orlando Regional","Orlando Regional"
"1","O5986836","SLD","1309 HAWKS NEST AVE","GROVELAND","34736","GROVELAND OSPREY COVE PH 01","1,995","$305,000","4","2","0","2007","None","Single Family Residence","$1,569.00","33","33","33","Cash","01/11/2022","$165.41","$152.88","0.92","OPENDOOR BROKERAGE LLC","Alli Johnston","304510545","55055","123456789","Orlando Regional","Orlando Regional"
"1","O6005824","SLD","18311 DELLS COVE RD","GROVELAND","34736","VILLA CITY SHORES SUB","1,113","$310,000","3","2","0","1989","None","Single Family Residence","$1,227.00","41","41","47","FHA","05/25/2022","$278.53","$278.53","1.00","MMV REAL ESTATE GROUP LLC","Mel Victor","261218535","261018780","261230763","Orlando Regional","Orlando Regional"
"1","T3344394","SLD","1226 OSPREY NEST CIR","GROVELAND","34736","GROVELAND OSPREY COVE PH 02","1,454","$310,000","3","2","0","2010","None","Single Family Residence","$1,083.34","14","14","76","Conventional","03/15/2022","$203.51","$213.2","1.05","OFFERPAD BROKERAGE","Rob Jones","147005203","261017587","261208758","Tampa","Tampa"
"1","S5064098","SLD","127 STEWART LAKE LOOP","GROVELAND","34736","QUAIL LNDG","1,466","$312,000","3","2","0","2017","None","Single Family Residence","$1,746.00","23","23","85","FHA","06/06/2022","$214.87","$212.82","0.99","AGENT TRUST REALTY CORPORATION","Karina Fernandez Garces","272562900","261011490","272562900","Osceola","Osceola"
"1","O5990219","SLD","14387 MONTEVISTA RD","GROVELAND","34736","LITTLE ACRES","1,800","$312,000","4","2","0","1979","None","Single Family Residence","$2,161.82","39","39","44","Conventional","03/08/2022","$188.89","$173.33","0.92","OPENDOOR BROKERAGE LLC","Alli Johnston","304510545","261015120","261225634","Orlando Regional","Orlando Regional"
"1","O5987133","SLD","18119 CHURCH ST","GROVELAND","34736","VILLA CITY","1,454","$315,000","3","2","0","2002","None","Single Family Residence","$2,487.83","14","14","16","Conventional","01/14/2022","$216.64","$216.64","1.00","STARLINK REALTY","Britny Newgard","261231417","260505471","260505114","Orlando Regional","Sarasota - Manatee"
"1","T3321272","SLD","965 LAUREL VIEW WAY","GROVELAND","34736","BELLEVUE 50S","1,555","$315,270","3","2","0","2021","None","Single Family Residence","$1,172.41","91","91","91","Conventional","05/20/2022","$202.75","$202.75","1.00","LENNAR REALTY","Ben Goldstein","261550712","261010845","261207775","Tampa","Tampa"
"1","U8143196","SLD","545 TIMBER RUN LN","GROVELAND","34736","VILLAGE ESTATES","1,768","$317,000","4","2","0","2002","None","Single Family Residence","$2,449.00","46","46","60","Conventional","02/11/2022","$186.20","$179.3","0.96","ZILLOW HOMES INC.","Nuria Curtis","261219354","261016970","261231203","Pinellas Suncoast","Pinellas Suncoast"
"1","O6000215","SLD","841 LAUREL VIEW WAY","GROVELAND","34736","CRESTRIDGE AT ESTATES","1,609","$318,000","3","2","0","2017","None","Single Family Residence","$3,039.00","5","5","5","Conventional","03/07/2022","$192.04","$197.64","1.03","NIGEL NEWLAND HOMES LLC","Keyana Frederick","261228881","279507145","279643292","Orlando Regional","Orlando Regional"
"1","J948457","SLD","6784 PERCH HAMMOCK LOOP","GROVELAND","34736","TRINITY LAKES","1,870","$318,535","4","2","1","2022","None","Single Family Residence","$1,799.00","0","0","-340","FHA","05/31/2022","$170.34","$170.34","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","261018404","261220454","For Future Use","Other"
"1","O6004219","SLD","2015 NEWTOWN RD","GROVELAND","34736","GROVELAND LEXINGTON VILLAGE PH I","1,882","$320,000","3","2","0","2005","None","Single Family Residence","$2,509.00","3","3","3","Conventional","03/15/2022","$158.87","$170.03","1.07","CARLETON REALTY GROUP","Bill Carleton, III","261217706","261566473","261222268","Orlando Regional","Orlando Regional"
"1","S5062405","SLD","239 PIMA TRL","GROVELAND","34736","CHERRYRIDGE AT ESTATES","1,792","$320,000","3","2","0","2006","None","Single Family Residence","$1,792.00","7","7","7","Cash","03/17/2022","$181.36","$178.57","0.98","BROKER & PARTNERS","Sandra Hoyos Linton","261096299","260503129","258005308","Osceola","Osceola"
"1","J941297","SLD","584 JUPITER BEACH RD","GROVELAND","34736","PRESERVE AT SUNRISE","1,704","$321,860","3","2","0","2021","Community","Single Family Residence","$589.00","0","0","-246","Conventional","01/13/2022","$188.88","$188.88","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","260504603","260502737","For Future Use","Other"
"1","G5049996","SLD","174 PRAIRIE FALCON DR","GROVELAND","34736","EAGLE POINTE PH I","1,541","$325,000","3","2","0","2012","None","Single Family Residence","$1,862.21","2","2","6","Conventional","01/13/2022","$210.90","$210.9","1.00","BONJORN REAL ESTATE","Mendy Bacon","260505887","54033","261211327","Lake and Sumter","Lake and Sumter"
"1","O5972070","SLD","371 SALT MARSH LN","GROVELAND","34736","CASCADES/GROVELAND PH 2","1,624","$325,500","2","2","0","2013","Community","Single Family Residence","$3,199.53","51","51","51","Conventional","01/10/2022","$209.36","$200.43","0.96","CENTURY 21 ONEBLUE","Shyloe Buhrle","261230790","56037","261216965","Orlando Regional","Orlando Regional"
"1","O5986560","SLD","324 ANORAK ST","GROVELAND","34736","CHERRYRIDGE AT ESTATES","1,752","$329,000","3","2","0","2006","None","Single Family Residence","$3,925.00","20","20","20","Cash","01/03/2022","$187.79","$187.79","1.00","BEYCOME OF FLORIDA LLC","Steven Koleno","364512302","261559698","261564649","Orlando Regional","Orlando Regional"
"1","T3315958","SLD","989 LAUREL VIEW WAY","GROVELAND","34736","BELLEVUE AT ESTATES AT CHERRY LAKE","1,853","$329,775","4","2","0","2021","None","Single Family Residence","$1,172.41","6","6","6","Cash","01/05/2022","$177.97","$177.97","1.00","LENNAR REALTY","Ben Goldstein","261550712","261016736","260502558","Tampa","Tampa"
"1","G5053447","SLD","321 HIDDEN VIEW DR","GROVELAND","34736","HIDDEN LK ESTS","1,767","$330,000","3","2","0","1998","None","Single Family Residence","$1,426.50","7","7","9","Conventional","05/16/2022","$181.10","$186.76","1.03","NEXTHOME ORANGE BLOSSOM RE","Florina Sharrock","266017139","261012236","261094292","Lake and Sumter","Lake and Sumter"
"1","O6012850","SLD","136 PRAIRIE FALCON DR","GROVELAND","34736","GROVELAND EAGLE POINTE PH 01","1,922","$330,000","3","2","0","2007","None","Single Family Residence","$1,460.00","5","5","5","Conventional","04/29/2022","$153.49","$171.7","1.12","THE REAL ESTATE COLLECTION LLC","Erica Sadelfeld","261093414","260503101","260502501","Orlando Regional","Orlando Regional"
"1","O5979785","SLD","184 DAKOTA AVE","GROVELAND","34736","CHERRYRIDGE AT ESTATES","1,824","$330,500","3","2","0","2006","None","Single Family Residence","$2,986.00","11","11","56","FHA","01/12/2022","$175.44","$181.2","1.03","MARK SPAIN REAL ESTATE","Christine Landrau","304509873","272509331","284502061","Orlando Regional","Orlando Regional"
"1","J948071","SLD","124 SILVER MAPLE RD","GROVELAND","34736","CASCADES OF GROVELAND","1,631","$330,910","2","2","0","2022","None","Single Family Residence","$1,913.00","0","0","-408","Conventional","05/26/2022","$202.89","$202.89","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","260503900","261227301","For Future Use","Other"
"1","J941294","SLD","155 JOSHUA DR","GROVELAND","34736","PRESERVE AT SUNRISE","1,711","$331,427","3","2","0","2021","Community","Single Family Residence","$589.00","0","0","-254","Cash","01/19/2022","$193.70","$193.7","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","260504603","260502737","For Future Use","Other"
"1","O6002826","SLD","1102 SINGLETON CIR","GROVELAND","34736","GREEN VALLEY WEST","1,642","$333,000","3","2","0","2002","Community","Single Family Residence","$2,097.00","7","7","7","Cash","03/09/2022","$213.15","$202.8","0.95","OPENDOOR BROKERAGE LLC","Alli Johnston","304510545","55055","123456789","Orlando Regional","Orlando Regional"
"1","O5993577","SLD","1525 SARUS AVE","GROVELAND","34736","CRANES LANDING PH 02","2,144","$333,433","4","2","0","2002","None","Single Family Residence","$1,063.31","4","4","4","Conventional","02/23/2022","$155.78","$155.52","1.00","WEICHERT REALTORS HALLMARK PROPERTIES","Kenneth Teixeira","261090346","261016427","261209539","Orlando Regional","Orlando Regional"
"1","T3332595","SLD","973 LAUREL VIEW WAY","GROVELAND","34736","BELLEVUE 50S","1,936","$333,545","4","2","0","2021","None","Single Family Residence","$1,172.41","29","29","29","FHA","02/24/2022","$172.29","$172.29","1.00","LENNAR REALTY","Ben Goldstein","261550712","781016","261550712","Tampa","Tampa"
"1","T3332597","SLD","949 LAUREL VIEW WAY","GROVELAND","34736","BELLEVUE AT ESTATES AT CHERRY LAKE","1,853","$333,775","4","2","0","2021","None","Single Family Residence","$1,172.41","15","15","15","VA","04/28/2022","$180.13","$180.13","1.00","LENNAR REALTY","Ben Goldstein","261550712","50096","641512262","Tampa","Tampa"
"1","G5055251","SLD","418 REGATTA DR","GROVELAND","34736","WESTWOOD PH I","1,740","$334,000","3","2","0","2005","None","Single Family Residence","$3,544.00","4","4","7","Cash","06/07/2022","$206.84","$191.95","0.93","REALTY PROFESSIONALS OF FL,LLC","Harvey Rosenberg","260510033","261011729","261095222","Lake and Sumter","Orlando Regional"
"1","J947107","SLD","846 KAPI DR","GROVELAND","34736","BELLEVUE 50S","1,853","$334,775","4","2","0","2022","None","Single Family Residence","$198.63","0","0","-263","Cash","05/27/2022","$180.67","$180.67","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","260503101","260503802","For Future Use","Other"
"1","G5050342","SLD","1538 SARUS AVE","GROVELAND","34736","CRANES LANDING PH 02","1,621","$335,000","3","2","0","2001","None","Single Family Residence","$2,269.75","4","4","4","Conventional","03/11/2022","$185.07","$206.66","1.12","LAKE REAL ESTATE GROUP","Alyssa Rodriguez","260505096","260505353","260505073","Lake and Sumter","Lake and Sumter"
"1","G5050080","SLD","5827 LONDON CT","GROVELAND","34736","BRIGHTON","1,672","$335,000","3","2","0","2020","None","Single Family Residence","$3,188.00","1","1","1","Cash","01/20/2022","$203.34","$200.36","0.99","OLYMPUS EXECUTIVE REALTY INC","Jorge Mulet, Sr, PA","260503431","261011729","261095222","Lake and Sumter","Orlando Regional"
"1","G5049335","SLD","143 PRAIRIE FALCON DR","GROVELAND","34736","GROVELAND EAGLE POINTE PH 01","1,922","$336,000","3","2","0","2006","None","Single Family Residence","$2,468.19","2","2","2","Cash","01/14/2022","$169.09","$174.82","1.03","KELLER WILLIAMS ELITE PARTNERS III REALTY","Brandie Mathison-Klein","260562593","261015965","269026078","Lake and Sumter","Lake and Sumter"
"1","J942273","SLD","1125 SINGLETON CIR","GROVELAND","34736","GREEN VALLEY WEST","1,822","$337,000","3","2","0","2002","Private, Community","Single Family Residence","$2,049.59","0","0","-38","FHA","02/14/2022","$184.96","$184.96","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","260501836","261084712","For Future Use","Other"
"1","O5980790","SLD","1823 HACKBERRY ST","GROVELAND","34736","ARBORWOOD","1,672","$337,990","3","2","0","2021","Community","Single Family Residence","$628.28","14","14","14","FHA","02/28/2022","$202.15","$202.15","1.00","D R HORTON REALTY INC","Tim Hultgren","503344296","261015120","260503933","Orlando Regional","Orlando Regional"
"1","T3340450","SLD","953 LAUREL VIEW WAY","GROVELAND","34736","BELLEVUE 50S","1,936","$338,545","4","2","0","2021","None","Single Family Residence","$1,172.41","24","24","24","Conventional","05/27/2022","$174.87","$174.87","1.00","LENNAR REALTY","Ben Goldstein","261550712","781016","261550712","Tampa","Tampa"
"1","O5984822","SLD","9690 BLACK WALNUT DR","GROVELAND","34736","ARBORWOOD","1,672","$338,990","3","2","0","2021","None","Single Family Residence","$5,170.00","8","8","8","FHA","05/20/2022","$202.75","$202.75","1.00","D R HORTON REALTY INC","Tim Hultgren","503344296","261011490","272508776","Orlando Regional","Orlando Regional"
"1","O6002887","SLD","6317 DOMENICO CT","GROVELAND","34736","STEWART LAKE PRESERVE","1,558","$339,100","3","2","0","2018","None","Single Family Residence","$3,562.39","4","4","4","Cash","03/18/2022","$205.39","$217.65","1.06","LA ROSA REALTY KISSIMMEE","Yolanda Rodriguez","261211431","261010944","279585867","Orlando Regional","Orlando Regional"
"1","O5975761","SLD","9674 BLACK WALNUT DR","GROVELAND","34736","ARBORWOOD","1,672","$339,990","3","2","0","2021","Community","Single Family Residence","$628.28","0","0","0","Cash","02/17/2022","$203.34","$203.34","1.00","D R HORTON REALTY INC","Tim Hultgren","503344296","261010662","503344296","Orlando Regional","Orlando Regional"
"1","G5049099","SLD","235 BAYOU BEND RD","GROVELAND","34736","GROVELAND CASCADES GROVELAND PH 01","1,435","$340,000","2","2","0","2006","Community","Single Family Residence","$2,875.00","2","2","17","Conventional","02/11/2022","$236.93","$236.93","1.00","KELLER WILLIAMS ELITE PARTNERS III REALTY","Brandie Mathison-Klein","260562593","261015523","260504363","Lake and Sumter","Lake and Sumter"
"1","O5990561","SLD","1847 HACKBERRY ST","GROVELAND","34736","ARBORWOOD","1,672","$340,990","3","2","0","2021","None","Single Family Residence","$627.94","3","3","3","Conventional","06/10/2022","$206.93","$203.94","0.99","D R HORTON REALTY INC","Tim Hultgren","503344296","272550066","272502853","Orlando Regional","Orlando Regional"
"1","O5981973","SLD","9698 BLACK WALNUT DR","GROVELAND","34736","ARBORWOOD","1,672","$340,990","3","2","0","2021","Community","Single Family Residence","$628.28","1","1","1","VA","03/29/2022","$203.94","$203.94","1.00","D R HORTON REALTY INC","Tim Hultgren","503344296","261012236","261094292","Orlando Regional","Orlando Regional"
"1","T3339136","SLD","974 LAUREL VIEW WAY","GROVELAND","34736","BELLEVUE AT ESTATES AT CHERRY LAKE","1,555","$342,270","3","2","0","2021","None","Single Family Residence","$1,172.41","41","41","41","Conventional","02/28/2022","$220.11","$220.11","1.00","LENNAR REALTY","Ben Goldstein","261550712","55055","123456789","Tampa","Tampa"
"1","J947977","SLD","6964 DILLY LAKE AVE","GROVELAND","34736","TRINITY LAKES PHASE 1 AND 2","1,853","$342,945","4","2","0","2022","None","Single Family Residence","$2,014.59","0","0","-199","Conventional","06/02/2022","$185.08","$185.08","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","261019357","261225601","For Future Use","Other"
"1","G5054360","SLD","314 WAY POINT DR","GROVELAND","34736","WESTWOOD PH I","1,550","$343,500","3","2","0","2005","None","Single Family Residence","$1,077.15","2","2","2","Conventional","05/26/2022","$192.90","$221.61","1.15","RE/MAX FREEDOM","Jacob Pfaff","260504927","261016293","261225538","Lake and Sumter","Lake and Sumter"
"1","G5055190","SLD","2048 NEWTOWN RD","GROVELAND","34736","GROVELAND LEXINGTON VILLAGE PH I","1,882","$344,100","3","2","0","2005","None","Single Family Residence","$3,359.02","3","3","3","Cash","06/01/2022","$180.66","$182.84","1.01","FLORIDA REALTY INVESTMENTS","Sharon Westendorf","260503675","261010944","279585867","Lake and Sumter","Orlando Regional"
"1","O6023592","SLD","1259 SINGLETON CIR","GROVELAND","34736","GREEN VALLEY WEST","1,980","$345,000","3","2","0","1999","None","Single Family Residence","$925.00","6","6","7","Conventional","06/13/2022","$174.24","$174.24","1.00","PRESTIGE PROPERTY SHOP LLC","G Clef Ho Shing","261213185","261010944","261229469","Orlando Regional","Orlando Regional"
"1","O6015552","SLD","231 E POMELO ST","GROVELAND","34736","GROVELAND","1,481","$345,000","3","2","0","1966","None","Single Family Residence","$1,650.00","7","7","7","FHA","05/11/2022","$228.90","$232.95","1.02","KELLER WILLIAMS REALTY AT THE PARKS","Marc George","261097429","50215","260504757","Orlando Regional","Orlando Regional"
"1","O6010929","SLD","113 LAKE CATHERINE CIR Unit#C","GROVELAND","34736","LAKE CATHERINE SHORES","2,023","$345,000","4","2","0","2001","None","Single Family Residence","$2,953.00","85","85","85","Cash","06/30/2022","$186.36","$170.54","0.92","OPENDOOR BROKERAGE LLC","Alli Johnston","304510545","55055","123456789","Orlando Regional","Orlando Regional"
"1","G5052218","SLD","281 HIDDEN VIEW DR","GROVELAND","34736","HIDDEN LAKES ESTATES","1,552","$345,000","3","2","0","1997","None","Single Family Residence","$2,553.00","5","5","5","Conventional","04/14/2022","$219.01","$222.29","1.02","PREMIER SOTHEBY'S INT'L REALTY","Dawn Giachetti","260562116","261014098","260504405","Lake and Sumter","Orlando Regional"
"1","G5051570","SLD","229 BLACKSTONE CREEK RD","GROVELAND","34736","SOUTHERN RIDGE AT ESTATES","1,605","$345,000","3","2","0","2014","None","Single Family Residence","$4,125.41","1","1","7","Conventional","03/09/2022","$198.75","$214.95","1.08","PREMIER SOTHEBY'S INT'L REALTY","Janet Hoffman","272508017","260506369","260565393","Lake and Sumter","Orlando Regional"
"1","O5981357","SLD","1818 HACKBERRY ST","GROVELAND","34736","ARBORWOOD","1,672","$345,000","3","2","0","2021","Community","Single Family Residence","$5,170.00","12","12","54","FHA","03/11/2022","$208.13","$206.34","0.99","D R HORTON REALTY INC","Tim Hultgren","503344296","55055","123456789","Orlando Regional","Orlando Regional"
"1","T3348105","SLD","958 LAUREL VIEW WAY","GROVELAND","34736","BELLEVUE 50S","1,555","$345,270","3","2","0","2022","None","Single Family Residence","$1,172.41","14","14","14","Conventional","05/27/2022","$222.04","$222.04","1.00","LENNAR REALTY","Ben Goldstein","261550712","781016","261550712","Tampa","Tampa"
"1","G5049621","SLD","132 BAYOU BEND RD","GROVELAND","34736","CASCADES OF GROVELAND","1,568","$345,900","2","2","0","2015","None","Single Family Residence","$4,847.23","7","7","7","Cash","03/04/2022","$220.60","$220.6","1.00","FLORIDA PLUS REALTY, LLC","Diana Stone","260500203","260503900","261227301","Lake and Sumter","Lake and Sumter"
"1","O6006959","SLD","220 COUNTRY LAKES CIR","GROVELAND","34736","HIDDEN LAKES ESTATES PH 02","1,569","$346,000","3","2","0","2001","Private","Single Family Residence","$1,398.00","4","4","5","Conventional","03/30/2022","$210.26","$220.52","1.05","COLDWELL BANKER REALTY","Robert Christiano","261092935","261010944","261216975","Orlando Regional","Orlando Regional"
"1","O5995458","SLD","113 LAKE CATHERINE CIR","GROVELAND","34736","LAKE CATHERINE SHORES","2,023","$346,900","4","2","0","2001","None","Single Family Residence","$2,952.89","36","36","41","Cash","03/11/2022","$176.92","$171.48","0.97","EQUITYPRO LLC","Navid Rokh","261215570","261012245","261215570","Orlando Regional","Orlando Regional"
"1","J947850","SLD","141 JUNO DR","GROVELAND","34736","PRESERVE/SUNRISE PH 3","1,704","$349,049","3","2","0","","None","Single Family Residence","$613.59","0","0","-241","FHA","05/31/2022","$204.84","$204.84","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","261016736","260502558","For Future Use","Other"
"1","O6028544","SLD","411 SILVER MAPLE RD","GROVELAND","34736","CASCADES/GROVELAND PH 2","1,482","$349,900","2","2","0","2014","None","Single Family Residence","$3,527.00","5","5","5","Conventional","06/27/2022","$236.10","$236.1","1.00","CHARLES RUTENBERG REALTY ORLANDO","Rick Ojeda","272501162","260503900","261227301","Orlando Regional","Orlando Regional"
"1","O5992297","SLD","5966 CHURCHILL SQUARE WAY","GROVELAND","34736","BRIGHTON","1,867","$349,990","4","2","0","2020","None","Single Family Residence","$2,993.00","16","16","16","Cash","01/20/2022","$187.46","$187.46","1.00","OLYMPUS EXECUTIVE REALTY INC","Isaias Montoyo Rivera","261220506","261011729","261095222","Orlando Regional","Orlando Regional"
"1","G5055037","SLD","16330 WINDING BLOSSOM DR","GROVELAND","34736","CHERRY LAKE LANDING","1,440","$350,000","3","2","0","2020","None","Single Family Residence","$3,332.00","4","4","4","Conventional","06/01/2022","$232.64","$243.06","1.04","KELLER WILLIAMS ELITE PARTNERS III REALTY","Jenna Loyd","260505400","261013043","261098165","Lake and Sumter","Lake and Sumter"
"1","G5053256","SLD","1238 DEMOISELLE ST","GROVELAND","34736","CRANES LANDING EAST","2,187","$350,000","4","2","0","2003","Private","Single Family Residence","$3,995.00","0","0","1","Conventional","04/27/2022","$160.04","$160.04","1.00","TERZA REAL ESTATE","Delphine Lampert","260561009","20540","260504706","Gainesville-Alachua","Gainesville-Alachua"
"1","O6008548","SLD","161 HIDDEN POINTE LN","GROVELAND","34736","HIDDEN LAKES ESTATES PH 02","1,790","$350,000","3","2","0","2000","None","Single Family Residence","$3,225.18","4","4","4","Cash","04/12/2022","$192.74","$195.53","1.01","CITRAVEST MANAGEMENT LLC","Guillermo Trevino","261220303","261011729","261095222","Orlando Regional","Orlando Regional"
"1","G5052532","SLD","511 LAKE SUMNER DR","GROVELAND","34736","WESTWOOD PH I","1,740","$350,000","3","2","0","2005","None","Single Family Residence","$3,463.00","5","5","5","FHA","04/13/2022","$195.40","$201.15","1.03","EMPIRE NETWORK REALTY","Ada Tirado","260503795","50096","261216203","Lake and Sumter","Orlando Regional"
"1","O5997692","SLD","448 E WARNER ST","GROVELAND","34736","GROVELAND","1,350","$350,000","3","2","0","2001","None","Single Family Residence","$950.17","8","8","24","Cash","03/09/2022","$259.26","$259.26","1.00","ACRE TERRA GROUP LLC","Olga Rolon","261213651","261010944","279585867","Orlando Regional","Orlando Regional"
"1","G5050143","SLD","5934 CHURCHILL SQUARE WAY","GROVELAND","34736","BRIGHTON","1,867","$350,000","4","2","0","2020","None","Single Family Residence","$3,862.00","4","4","7","Cash","01/20/2022","$187.47","$187.47","1.00","MONIQUE MCGUIRE REALTY INC","Monique McGuire","261089121","55055","123456789","Lake and Sumter","Lake and Sumter"
"1","T3347123","SLD","329 ALCOVE DR","GROVELAND","34736","CASCADES/GROVELAND PH 5","1,568","$350,000","2","2","0","2017","None","Single Family Residence","$3,796.37","29","29","29","Cash","02/23/2022","$223.15","$223.21","1.00","OFFERPAD BROKERAGE","Rob Jones","147005203","260504715","260505758","Tampa","Tampa"
"1","O5974507","SLD","9373 ST THERESE ST","GROVELAND","34736","CYPRESS OAKS","1,711","$351,514","4","2","0","2021","Community","Single Family Residence","$0.00","14","14","14","FHA","01/24/2022","$209.89","$205.44","0.98","HANOVER FAMILY BUILDERS LLC","Stephen Wood","503396231","261015136","503396231","Orlando Regional","Orlando Regional"
"1","J948193","SLD","6821 PERCH HAMMOCK LOOP","GROVELAND","34736","TRINITY LAKES PHASE 1 AND 2","1,936","$351,770","4","2","0","2022","None","Single Family Residence","$2,015.00","0","0","-159","Cash","05/31/2022","$181.70","$181.7","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","261013043","261222427","For Future Use","Other"
"1","G5051483","SLD","7246 GANO RD","GROVELAND","34736","GROVELLA PARK","1,288","$352,000","4","2","0","1990","None","Single Family Residence","$2,262.73","3","3","19","Cash","03/11/2022","$248.45","$273.29","1.10","EXP REALTY LLC","Monica McDonald","260504374","260031891","272561989","Lake and Sumter","Sarasota - Manatee"
"1","O5986665","SLD","1814 HACKBERRY ST","GROVELAND","34736","ARBORWOOD","1,828","$352,990","4","2","0","2021","None","Single Family Residence","$627.94","4","4","4","Conventional","06/24/2022","$193.10","$193.1","1.00","D R HORTON REALTY INC","Tim Hultgren","503344296","261016243","261229597","Orlando Regional","Orlando Regional"
"1","O5979409","SLD","9686 BLACK WALNUT DR","GROVELAND","34736","ARBORWOOD","1,828","$352,990","4","2","0","2021","Community","Single Family Residence","$628.28","13","13","13","FHA","05/13/2022","$193.10","$193.1","1.00","D R HORTON REALTY INC","Tim Hultgren","503344296","261011075","272505319","Orlando Regional","Orlando Regional"
"1","O6013891","SLD","9706 BLACK WALNUT DR","GROVELAND","34736","ARBORWOOD","1,672","$353,490","3","2","0","2021","None","Single Family Residence","$627.00","0","0","0","Conventional","05/18/2022","$211.42","$211.42","1.00","D R HORTON REALTY INC","Tim Hultgren","503344296","260503461","276542247","Orlando Regional","Orlando Regional"
"1","O5979305","SLD","9357 ST. THERESE ST","GROVELAND","34736","CYPRESS OAKS","1,711","$353,889","4","2","0","2022","Community","Single Family Residence","$656.00","8","8","8","FHA","05/03/2022","$212.09","$206.83","0.98","HANOVER FAMILY BUILDERS LLC","Stephen Wood","503396231","260500212","260503980","Orlando Regional","Orlando Regional"
"1","O6022682","SLD","15211 SILVER EAGLE RD","GROVELAND","34736","SILVER EAGLE RESERVE","2,044","$354,320","3","2","0","2022","None","Single Family Residence","$500.00","0","0","0","FHA","05/03/2022","$192.92","$173.35","0.90","ADNORAM REALTY","Jay Garick","261017253","272561325","261213873","Orlando Regional","Orlando Regional"
"1","O5961788","SLD","592 JUPITER BEACH RD","GROVELAND","34736","PRESERVE AT SUNRISE","1,819","$354,660","4","2","0","2021","Community","Single Family Residence","$613.59","7","7","7","Conventional","03/01/2022","$194.98","$194.98","1.00","HANOVER FAMILY BUILDERS LLC","Stephen Wood","503396231","55973","272562297","Orlando Regional","Orlando Regional"
"1","O6020484","SLD","925 OAK DRIVE","GROVELAND","34736","GROVELAND LITTLE OAKS","1,617","$355,000","4","2","0","2018","None","Single Family Residence","$2,152.00","3","3","3","Cash","05/23/2022","$191.71","$219.54","1.15","OLYMPUS EXECUTIVE REALTY INC","Joey Renna, Jr","261229233","261015120","260505259","Orlando Regional","Orlando Regional"
"1","G5054535","SLD","1067 STONEHAM DR","GROVELAND","34736","GREEN VALLEY WEST","1,822","$355,000","3","2","0","2001","None","Single Family Residence","$1,648.73","4","4","4","Cash","06/15/2022","$172.89","$194.84","1.13","KELLER WILLIAMS ELITE PARTNERS III REALTY","Brandie Mathison-Klein","260562593","260503101","260506384","Lake and Sumter","Lake and Sumter"
