"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","Selling Agent ID","LSC List Side","List Office Primary Board ID"
"1","O6003945","SLD","18307 DELLS COVE RD","GROVELAND","34736","VILLA CITY SHORES SUB","1,821","$542,500","3","2","0","2019","None","Single Family Residence","$3,592.66","59","59","59","Conventional","06/01/2022","$307.52","$297.91","0.97","MMV REAL ESTATE GROUP LLC","Mel Victor","261218535","261014321","261223478","Orlando Regional","Orlando Regional"
"1","S5064514","SLD","722 LAKE DOUGLAS DR","GROVELAND","34736","GROVELAND WESTWOOD PH 02","2,884","$552,500","4","3","1","2014","Private","Single Family Residence","$4,292.20","6","6","6","Cash","06/07/2022","$180.31","$191.57","1.06","ROBERT SLACK LLC","Lora Feingold","272561989","260503900","261227301","Osceola","Pinellas Suncoast"
"1","G5052451","SLD","5822 MIDDLE ST","GROVELAND","34736","VILLA CITY SHORES","2,050","$557,500","4","2","0","2021","None","Single Family Residence","$1,373.71","6","6","6","Cash","04/06/2022","$275.61","$271.95","0.99","KELLER WILLIAMS ELITE PARTNERS III REALTY","Brandie Mathison-Klein","260562593","260505076","261211471","Lake and Sumter","Lake and Sumter"
"1","O5997272","SLD","3245 THOMAS COVE DR","GROVELAND","34736","LAKE THOMAS COVE","1,640","$559,000","3","2","0","1994","None","Single Family Residence","$2,917.00","2","2","2","Cash","02/03/2022","$340.85","$340.85","1.00","VELEZ COURTESY MANAGEMENT","Gerry Klaus","261206150","261017979","261224150","Orlando Regional","Orlando Regional"
"1","O6007692","SLD","168 BAYOU BEND RD","GROVELAND","34736","THE CASCADES OF GROVELAND PH 2","2,439","$565,000","3","3","0","2014","Community","Single Family Residence","$5,711.50","7","7","7","Cash","04/29/2022","$237.80","$231.65","0.97","CENTURY 21 PROFESSIONAL GROUP","Jarred Denison","261218577","260503101","260503956","Orlando Regional","Orlando Regional"
"1","G5053774","SLD","901 TIDAL POND DR","GROVELAND","34736","CASCADES/GROVELAND PH 5","2,315","$570,000","2","2","1","2017","Community","Single Family Residence","$5,980.04","6","6","6","Cash","06/02/2022","$250.11","$246.22","0.98","EXIT REALTY TRI-COUNTY","Jason Short","260505008","261011522","272500275","Lake and Sumter","Lake and Sumter"
"1","G5052383","SLD","830 PAINTED HORSE LN","GROVELAND","34736","NONE","1,502","$575,000","3","2","0","1996","Private","Single Family Residence","$3,907.20","8","8","8","Conventional","04/22/2022","$382.82","$382.82","1.00","KELLER WILLIAMS ELITE PARTNERS III REALTY","Brandie Mathison-Klein","260562593","50096","261208030","Lake and Sumter","Lake and Sumter"
"1","G5047862","SLD","136 BALMY COAST RD","GROVELAND","34736","GROVELAND CASCADES GROVELAND PH 03","1,925","$585,000","2","2","0","2012","Private, Community","Single Family Residence","$6,824.00","37","37","37","Cash","01/13/2022","$311.17","$303.9","0.98","FLORIDA PLUS REALTY, LLC","Diana Stone","260500203","50096","261204623","Lake and Sumter","Lake and Sumter"
"1","G5053143","SLD","12500 KIJIK TRL","GROVELAND","34736","GROVELAND FARMS","1,676","$589,000","3","2","0","2002","None","Single Family Residence","$2,473.00","21","21","36","Conventional","05/05/2022","$393.74","$351.43","0.89","COLDWELL BANKER TONY HUBBARD","Shani Marbais","260504891","260031661","261084601","Lake and Sumter","Lake and Sumter"
"1","G5049846","SLD","8920 W LIBBY RD","GROVELAND","34736","N/A","1,536","$605,000","3","2","0","1995","Private","Single Family Residence","$1,803.84","3","3","4","Cash","01/20/2022","$389.97","$393.88","1.01","WEICHERT, REALTORS-HALLMARK PR","Andrea Palka","260505790","260520233","261213205","Lake and Sumter","Lake and Sumter"
"1","O6005486","SLD","18221 GREAT BLUE HERON DR","GROVELAND","34736","GREAT BLUE HERON ESTATES SUB","2,551","$620,000","4","3","0","2019","None","Single Family Residence","$4,100.00","5","5","5","Conventional","04/05/2022","$235.20","$243.04","1.03","OLYMPUS EXECUTIVE REALTY INC","Stacey Ray","260565987","260503129","260503614","Orlando Regional","Orlando Regional"
"1","G5048619","SLD","14447 BAY LAKE RD","GROVELAND","34736","ACREAGE & UNREC","2,752","$620,000","4","3","1","1930","None","Single Family Residence","$3,825.18","86","86","86","Conventional","03/11/2022","$230.74","$225.29","0.98","WHEATLEY REALTY GROUP","Matthew Wheatley","260502504","260503461","260502504","Lake and Sumter","Lake and Sumter"
"1","G5050572","SLD","9731 OUR KIDS RD","GROVELAND","34736","ACREAGE","2,924","$650,000","5","3","0","1994","Private","Single Family Residence","$3,009.33","2","2","3","Conventional","03/15/2022","$222.30","$222.3","1.00","SCATES REALTY & INVESTMENT PRO","Lisa Pownall","260563386","261016192","261220854","Lake and Sumter","Lake and Sumter"
"1","T3357133","SLD","8354 WILD FLOWER AVE","GROVELAND","34736","61/ GROVELAND FARMS","1,566","$651,000","3","2","0","2005","None","Single Family Residence","$1,834.00","1","1","1","Conventional","04/06/2022","$383.08","$415.71","1.09","LOKATION","Marianella Campos","276533090","261017014","261213655","Tampa","Tampa"
"1","O5998452","SLD","7403 REDWING RD","GROVELAND","34736","GROVELAND FARMS 32-22-25","3,047","$700,000","4","2","0","2004","Private","Single Family Residence","$4,666.00","1","1","1","Cash","02/22/2022","$229.73","$229.73","1.00","MARK SPAIN REAL ESTATE","Cassandra Walthers","261222538","52403","272502580","Orlando Regional","Orlando Regional"
"1","O6015128","SLD","2831 EMPIRE CHURCH RD","GROVELAND","34736","GROVELAND FARMS 33-22-24","2,826","$710,000","4","2","1","2006","Private","Single Family Residence","$4,627.00","4","4","14","Conventional","05/11/2022","$245.90","$251.24","1.02","HOUWZER LLC","Sara Maizie","261206237","260506294","271515608","Orlando Regional","Orlando Regional"
"1","G5051754","SLD","105 PEACE RIVER CT","GROVELAND","34736","GROVELAND WATERSIDE POINTE PH 01","3,904","$715,000","5","3","1","2015","Community","Single Family Residence","$5,089.36","1","1","1","Cash","04/15/2022","$172.90","$183.15","1.06","TERZA REAL ESTATE","Shelley Emery","260504706","260505170","374006643","Lake and Sumter","Gainesville-Alachua"
"1","G5054346","SLD","377 BLUE CYPRESS DR","GROVELAND","34736","WATERSIDE POINTE PH 3","2,880","$716,000","4","2","1","2019","Community","Single Family Residence","$4,901.68","12","12","12","Conventional","06/01/2022","$246.53","$248.61","1.01","TERZA REAL ESTATE","Shelley Emery","260504706","260505846","260505567","Lake and Sumter","Gainesville-Alachua"
"1","T3362595","SLD","371 BLUE CYPRESS DR","GROVELAND","34736","WATERSIDE POINTE","3,822","$799,900","5","5","0","2019","None","Single Family Residence","$6,235.00","3","3","3","VA","05/05/2022","$209.29","$209.29","1.00","OFFERPAD BROKERAGE","Rob Jones","147005203","20540","260504706","Tampa","Tampa"
"1","O6008813","SLD","12901 PHILLIPS RD","GROVELAND","34736","GROVELAND FARMS 32-22-25","3,885","$825,000","5","4","0","2001","Private","Single Family Residence","$3,714.00","26","26","26","Cash","05/06/2022","$244.50","$212.36","0.87","VYLLA HOME","Deon Paul","261083677","261013944","261083677","Orlando Regional","Orlando Regional"
